qualtrics_question_num,ideo_lean,veracity,headline,judgment
1,pro_dem,False,Blacks 4 Trump Group Caught Using Blackface To Pretend They Have Black Members,unsure
2,pro_dem,False,Biden Buys Film Rights To New MAD Movie Just To Piss Off Trump,unsure
3,pro_dem,False,"Staring At Hard Times, Tucker Carlson May Be Forced To Sell Bow Tie Collection",unsure
4,pro_dem,False,"Steve Bannon Is Now Selling ""Freedom Yogurt"" Made Of White Peoples Semen",false
5,pro_dem,False,"SUPREME COURT GRANTS BLACK MAN ""40 ACRES OF LAND AND A MULE""",false
6,pro_dem,False,Trump Is Suing His Grandchildren For Violating NDAs He Made Them Sign As Infants,false
7,pro_dem,False,Trump Orders Americans To Stop Eating Chinese Food,false
8,pro_dem,False,Trump Routinely Forced Staffers To Shred And Eat White House Documents,unsure
9,pro_dem,False,"Trump Threatens To Sue Founding Fathers: Resorting to his most tried-and-true tactic, Donald Trump has...",false
10,pro_dem,False,Trump Voter Wants Taco Bell Shut Down For Being Too Mexican,unsure
11,pro_rep,False,Biden Orders Arrest Of Black Leaders While His Elites Mock Appalachia Flood Victims,false
12,pro_rep,False,BREAKING: Hillary Clinton Found Dead Under Suspicious Circumstances,false
13,pro_rep,False,"Delta Force Arrests Chelsea Clinton: Thanks for your support. The content we do is quite sensitive, s...",false
14,pro_rep,False,Kamala: Our Military Are Soulless Cowards. Their Budget Must Be Cut.,false
15,pro_rep,False,Ilhan Omar Spits On The Tomb of the Unknown Soldier,false
16,pro_rep,False,"Malia Obama Arrested Again, Complete Media Blackout: The truth is right in front of you.",false
17,pro_rep,False,QAnon Wants You To Pee On Your Kids So Democrats Cant Smell Their Youthful Blood,false
18,pro_rep,False,Special Forces Arrest Deep State Dr. Anthony Fauci: US Special Forces on Saturday scored a major victory in the war...,false
19,pro_rep,False,WOW! Biden Caught Fake Driving - Someone Else Is Steering Vehicle - It Was All a Stunt! - VIDEO and PICS,unsure
20,pro_rep,False,"YOKO ONO: ""I HAD AN AFFAIR WITH HILLARY CLINTON IN THE 70S""",false
21,pro_dem,True,Biden administration cancels another $3.9 billion in student loan debt for former for-profit college students,unsure
22,pro_dem,True,"Biden has tamped down talk of a primary challenge, for now",unsure
23,pro_dem,True,Biden Warns That American Values Are Under Assault by Trump-Led Extremism,unsure
24,pro_dem,True,Digital World Acquisition Corp urges shareholders to delay merger with Trump Media,unsure
25,pro_dem,True,Ex-NYPD officer sentenced to record 10 years for Jan. 6 riot: WASHINGTON (AP) - A retired New York Police Department officer was...,unsure
26,pro_dem,True,Garlands perilous path to prosecuting Trump: The attorney general has multiple hurdles to overcome if he really wants to...,unsure
27,pro_dem,True,"Is there such thing as a Joe Biden superfan?: Yes. Well, sort of.",unsure
28,pro_dem,True,The Dangers of Trump-Prosecution Syndrome: The evidence that the former President mishandled classified documents is...,unsure
29,pro_dem,True,"Trump ally Lindsey Graham must testify in Georgia grand jury investigation, federal judge rules",unsure
30,pro_dem,True,Trumps Truth Social barred from Google Play store over content moderation concerns,unsure
31,pro_rep,True,Bidens anti-MAGA speech was ridiculous: Campaign PAC chair,unsure
32,pro_rep,True,Bill Bennett on falling reading and math scores: Devastation is the right word,unsure
33,pro_rep,True,"Border Patrol agents arrest dozens of illegal immigrant criminals, gang members",unsure
34,pro_rep,True,Democratic Rep. Sean Patrick Maloney has history of employing convicts,unsure
35,pro_rep,True,Gig Workers Tire of Waiting for Action From Bidens White House,unsure
36,pro_rep,True,"Hunter Biden secured dinner for client at Chinese Embassy following luncheon hosted by VP Biden, emails show",unsure
37,pro_rep,True,"McCarthy says democracy is on the ballot in midterms, blaming Dems for attacking freedoms",unsure
38,pro_rep,True,"Melania Trump felt violated by FBI agents contaminating her bedroom during Mar-a-Lago raid, report says",unsure
39,pro_rep,True,Trump pledges to pardon some Jan. 6 Capitol riot defendants,unsure
40,pro_rep,True,Trump revives claims Biden has dementia after anti-MAGA speech,unsure
