Group,Condition,veracity,mean_said_yes,ci_said_yes
Belief,Control,False,0.3070539419087137,0.04533713692946051
Belief,Control,True,0.7,0.03143153526970954
Belief,Forced,False,0.33542510121457486,0.04686740890688254
Belief,Forced,True,0.6834008097165992,0.0254048582995951
Belief,Human-FC,False,0.2828333333333333,0.04233541666666661
Belief,Human-FC,True,0.8563333333333333,0.01991875000000004
Belief,Optional,False,0.2946360153256705,0.04224137931034483
Belief,Optional,True,0.6848659003831418,0.02739463601532577
Share,Control,False,0.36329588014981273,0.04410112359550558
Share,Control,True,0.447940074906367,0.042792602996254675
Share,Forced,False,0.43308550185873607,0.048238847583643135
Share,Forced,True,0.5133828996282528,0.04572490706319701
Share,Human-FC,False,0.3692926045016077,0.044131832797427634
Share,Human-FC,True,0.5437299035369775,0.04172025723472672
Share,Optional,False,0.3633079847908745,0.04924429657794677
Share,Optional,True,0.441254752851711,0.04629515209125476
